,coef,b,y,Schizotipy
PDI,-0.1128,-0.284,Mean RT,PDI
PDI,-0.1128,0.059000000000000004,Mean RT,PDI
PDI,-0.1157,-0.272,Mean HC RT,PDI
PDI,-0.1157,0.04,Mean HC RT,PDI
PDI,-0.0871,-0.262,Mean LC RT,PDI
PDI,-0.0871,0.08800000000000001,Mean LC RT,PDI
PDI,0.1004,-0.057,Mean Accuracy,PDI
PDI,0.1004,0.258,Mean Accuracy,PDI
PDI,3.642e-07,-0.127,Mean HC Accuracy,PDI
PDI,3.642e-07,0.127,Mean HC Accuracy,PDI
PDI,0.0623,-0.106,Mean LC Accuracy,PDI
PDI,0.0623,0.231,Mean LC Accuracy,PDI
PDI,0.1212,-0.006,DTD,PDI
PDI,0.1212,0.248,DTD,PDI
PDI,-3.139e-07,-0.044000000000000004,Conf-0,PDI
PDI,-3.139e-07,0.044000000000000004,Conf-0,PDI
PDI,-0.0555,-0.174,Conf-1,PDI
PDI,-0.0555,0.063,Conf-1,PDI
PDI,0.2334,0.083,Conf-N,PDI
PDI,0.2334,0.384,Conf-N,PDI
PDI,0.0516,-0.062,ADJ,PDI
PDI,0.0516,0.165,ADJ,PDI
CAPS,-0.0747,-0.25,Mean RT,CAPS
CAPS,-0.0747,0.10099999999999999,Mean RT,CAPS
CAPS,-0.0715,-0.228,Mean HC RT,CAPS
CAPS,-0.0715,0.085,Mean HC RT,CAPS
CAPS,-0.0384,-0.21600000000000003,Mean LC RT,CAPS
CAPS,-0.0384,0.139,Mean LC RT,CAPS
CAPS,0.0682,-0.09,Mean Accuracy,CAPS
CAPS,0.0682,0.22699999999999998,Mean Accuracy,CAPS
CAPS,1.621e-07,-0.127,Mean HC Accuracy,CAPS
CAPS,1.621e-07,0.127,Mean HC Accuracy,CAPS
CAPS,0.0337,-0.135,Mean LC Accuracy,CAPS
CAPS,0.0337,0.20199999999999999,Mean LC Accuracy,CAPS
CAPS,0.1264,-0.003,DTD,CAPS
CAPS,0.1264,0.255,DTD,CAPS
CAPS,0.0082,-0.036000000000000004,Conf-0,CAPS
CAPS,0.0082,0.053,Conf-0,CAPS
CAPS,-0.0243,-0.14400000000000002,Conf-1,CAPS
CAPS,-0.0243,0.096,Conf-1,CAPS
CAPS,0.1809,0.019,Conf-N,CAPS
CAPS,0.1809,0.34299999999999997,Conf-N,CAPS
CAPS,0.0145,-0.1,ADJ,CAPS
CAPS,0.0145,0.129,ADJ,CAPS
ASI,0.089,-0.09,Mean RT,ASI
ASI,0.089,0.268,Mean RT,ASI
ASI,-0.0377,-0.198,Mean HC RT,ASI
ASI,-0.0377,0.122,Mean HC RT,ASI
ASI,-0.0218,-0.2,Mean LC RT,ASI
ASI,-0.0218,0.156,Mean LC RT,ASI
ASI,0.0672,-0.094,Mean Accuracy,ASI
ASI,0.0672,0.228,Mean Accuracy,ASI
ASI,-5.7e-07,-0.127,Mean HC Accuracy,ASI
ASI,-5.7e-07,0.127,Mean HC Accuracy,ASI
ASI,0.0216,-0.152,Mean LC Accuracy,ASI
ASI,0.0216,0.195,Mean LC Accuracy,ASI
ASI,0.0791,-0.049,DTD,ASI
ASI,0.0791,0.207,DTD,ASI
ASI,1.15e-06,-0.044000000000000004,Conf-0,ASI
ASI,1.15e-06,0.044000000000000004,Conf-0,ASI
ASI,-0.0332,-0.154,Conf-1,ASI
ASI,-0.0332,0.087,Conf-1,ASI
ASI,0.2517,0.09699999999999999,Conf-N,ASI
ASI,0.2517,0.40700000000000003,Conf-N,ASI
ASI,0.0449,-0.068,ADJ,ASI
ASI,0.0449,0.158,ADJ,ASI
